,Artist,0
766,Kouz1,C
767,Kreepa,E
768,Kukuli,E
769,Kungs,B
770,Kurochuu,E
771,Kxllswxtch,C
772,Kygo,B
773,Kylie Minogue,D
774,Kï¿½ï,D
775,Kï¿½ï¿½ï¿½,D
776,L.Dre,E
777,L7NNON,C
778,LE SSERAFIM,D
779,LF SYSTEM,C
780,LISA,C
781,LIT killah,C
782,LIZOT,E
783,LMFAO,D
784,LOLA,E
785,LOSTBOYJAY,E
786,LP,D
787,LUDMILLA,C
788,LUM!X,E
789,LXNGVX,D
790,La Adictiva,D
791,La Joaqui,E
792,La Pantera,D
793,La ï¿½ï¿½nica Trop,E
794,Labrinth,E
795,Laddi Chahal,E
796,Lah Pat,D
797,Lainey Wilson,D
798,Lamis Kan,C
799,Lartiste,E
800,Lasso,D
801,Latto,D
802,Laufey,E
803,Lauren Daigle,C
804,Lauren Spencer Smith,C
805,Lauty Gram,C
806,Lauv,B
807,Lay Bankz,D
808,Lazza,E
809,League of Legends,C
810,Leah Kate,E
811,Lee Brice,C
812,LeeHi,D
813,Lefty Sm,D
814,Lele Pons,C
815,Lenny Tavï¿½ï¿,D
816,Leo Santana,C
817,Leo Walrus,E
818,Lewis Capaldi,S
819,LiL CaKe,D
820,Liam Payne,D
821,Liamsi,D
822,Libianca,C
823,Lil Big Stack,C
824,Lil Dicky,E
825,Lil Mabu,C
826,Lil Mosey,B
827,Lil Peep,B
828,Lil Pump,E
829,Lil Tecca,C
830,Lil Tjay,D
831,Lilly Wood and The Prick,B
832,Linkin Park,B
833,Lithe,E
834,Little Big,E
835,Little Mix,B
836,Lizzy McAlpine,E
837,Logan Paul,C
838,Lola Amour,D
839,Lola Indigo,D
840,Lomiiel,E
841,Lord Huron,D
842,Lorde,E
843,Loreen,E
844,Los Dos Carnales,D
845,Los Gemelos De Sinaloa,E
846,Los Legendarios,E
847,Los ï¿½ï¿½ngeles Az,D
848,Lost Frequencies,E
849,Loud Luxury,B
850,Luan Pereira,D
851,Luca-Dante Spadafora,D
852,Luciano,D
853,Luck Ra,D
854,Lucky Brown,D
855,Luclover,E
856,Luh Kel,A
857,Luis Alfonso Partida El Yaki,E
858,"Luis Angel ""El Flaco""",E
859,Luis Fonsi,D
860,Luis R Conriquez,D
861,Lukas Graham,S
862,Luke Bryan,E
863,Luke Combs,C
864,Luli Pampï¿½,E
865,Lumi Athena,D
866,Lunay,C
867,Lusia Chebotina,E
868,Luude,A
869,Lvbel C5,E
870,Lyanno,E
871,M83,C
872,MAN WITH A MISSION,D
873,MC Cabelinho,D
874,MC Caverinha,D
875,MC Fioti,E
876,MC Kevin o Chris,D
877,MC L da Vinte,E
878,MC MENOR HR,D
879,MC PH,D
880,MC Paulin da Capital,E
881,MC Rogerinho,C
882,MC Ryan SP,E
883,MEDUZA,D
884,MELON,E
885,MEYY,C
886,MGMT,E
887,MISAMO,D
888,MK,D
889,MKTO,A
890,MODELKI,E
891,MORGENSHTERN,E
892,MUPP,E
893,Mabel,A
894,Mabel Matiz,E
895,Mac DeMarco,C
896,Macklemore,A
897,Macklemore & Ryan Lewis,D
898,Mae Stephens,E
899,Mahalini,D
900,Mahmood,D
901,Maian,E
902,Majestic,B
903,Major Lazer,D
904,Makar,D
905,Maluma,E
906,Maninder Buttar,E
907,Mankirt Aulakh,D
908,Mannat Noor,E
909,Manu,D
910,Manuel Turizo,E
911,Marc Anthony,E
912,Marc Seguï¿,C
913,Marca MP,C
914,Maren Morris,C
915,Mareux,D
916,Mari Fernandez,D
917,Maria Becerra,D
918,Maria Marï¿½ï,D
919,Mario,E
920,Mark Ambor,D
921,Mark Ronson,B
922,Marlon Hoffstadt,E
923,Marnik,E
924,Maroon 5,S
925,Marshmello,S
926,Martin Garrix,E
927,Marwa Loud,D
928,Marï¿½ï¿½lia Mendo,D
929,Masego,D
930,Masked Wolf,E
931,Master KG,E
932,Matheus Fernandes,C
933,Matt Sassari,D
934,Matuï¿,E
935,Mau P,D
936,Mau y Ricky,D
937,Mavins,D
938,Mawell,D
939,Mazhar Rahi,D
940,Mc Davi,D
941,Mc Don Juan,E
942,Mc IG,D
943,Mc Livinho,D
944,Mc Paiva ZS,C
945,Mc Poze do Rodo,C
946,Meek Mill,D
947,Meet Bros.,E
948,Megan Moroney,D
949,Meghan Trainor,E
950,Mehmood J,D
951,Melanie Martinez,C
952,Melike ï¿½ï¿½,D
953,Memphis Cult,D
954,Men I Trust,D
955,Mert Demir,D
956,Mesita,D
957,Metro Boomin,D
958,Michael Marcagi,D
959,Michelle Maciel,D
960,Miguel,C
961,Mike Posner,S
962,Mike WiLL Made-It,E
963,Miksu / Macloud,D
964,Milky Chance,B
965,Millind Gaba,C
966,Milo j,D
967,Minelli,C
968,Misael De La Rosa,D
969,Mithoon,E
970,Mitraz,D
971,Mitski,C
972,Moha K,C
973,Mon Laferte,E
974,Money Man,C
975,Moneybagg Yo,D
976,Montell Fish,A
977,MoonDeity,C
978,Mora,E
979,Morad,D
980,Morat,C
981,Moreart,C
982,Morgan Wallen,C
983,Morray,E
984,Mother Mother,E
985,Mounika Yadav,E
986,Mr. Belt & Wezol,E
987,Mrs. GREEN APPLE,E
988,Mundo Bita,E
989,Muni Long,C
990,Mustard,B
991,Mvua,E
992,Myke Towers,D
993,Myles Smith,E
994,Myriam Fares,E
995,Mï¿½ï¿½ne,E
996,NATTAN,E
997,NATTI NATASHA,E
998,NAV,E
999,NAYEON,E
1000,NEIKED,C
1001,NEXZ,E
1002,NF,C
1003,NIKI,E
1004,NLE Choppa,E
1005,NLO,D
1006,NMIXX,D
