,Artist,0
1191,Rose Villain,E
1192,Roxy Dekker,E
1193,Roy Woods,D
1194,Royal & the Serpent,D
1195,Royel Otis,D
1196,Ruchika Jangid,E
1197,Rudimental,D
1198,Ruger,D
1199,Rusherking,E
1200,Russ,A
1201,Russ Millions,D
1202,Ruth B.,C
1203,Rvssian,A
1204,Ryan Castro,E
1205,Ryan Gosling,C
1206,Ryan Hurd,E
1207,Rylo Rodriguez,D
1208,S1mba,E
1209,SAIKO,D
1210,SAINt JHN,B
1211,SB19,D
1212,SDM,D
1213,SEVENTEEN,D
1214,SHAED,C
1215,SHAUN,D
1216,SIRA,D
1217,SLANDER,D
1218,SPENCE,E
1219,SPRITE,C
1220,SR,D
1221,SUICIDAL-IDOL,A
1222,SUPER JUNIOR,E
1223,Saad Lamjarred,E
1224,Sabrina Carpenter,A
1225,Sachin-Jigar,D
1226,Sada Baby,D
1227,Sage The Gemini,E
1228,Salastkbron,E
1229,Sam Barber,D
1230,Sam Fischer,D
1231,Sam Hunt,E
1232,Sandeep Surila,E
1233,Sanju Rathod,E
1234,Santa Fe Klan,D
1235,Santhosh Narayanan,E
1236,Sara Kays,C
1237,Sarah Cothran,D
1238,Sarah Jeffery,E
1239,Sasha Alex Sloan,D
1240,SativaMusic,D
1241,Scotty McCreery,E
1242,Sean Kingston,E
1243,Sean Paul,C
1244,Sebastian Yatra,E
1245,Sech,E
1246,Sefo,D
1247,Semicenk,D
1248,Sexyy Red,D
1249,Shaan,E
1250,Shaboozey,E
1251,Shae Gill,E
1252,Shakira,C
1253,Shaun Reynolds,E
1254,Shawn Mendes,A
1255,Shayne Orok,E
1256,Sheck Wes,D
1257,Shilpa Rao,E
1258,Shivali,E
1259,Shivani Singh,E
1260,Shoreline Mafia,E
1261,Shoti,E
1262,Shouse,A
1263,Showtek,E
1264,Shubh,D
1265,Sia,B
1266,Siddhant,E
1267,Sidhu Moose Wala,E
1268,Simone Mendes,D
1269,Sintage,E
1270,Ski Aggu,D
1271,Ski Mask The Slump God,E
1272,Skrillex,D
1273,Sky Rompiendo,D
1274,SleazyWorld Go,D
1275,Sleep Token,D
1276,Sleepy Hallow,E
1277,Slimane,E
1278,Slowboy,D
1279,Sofï¿½ï¿½a R,C
1280,Sohail Sen,E
1281,Sonny Fodera,E
1282,Soolking,D
1283,Sophie and the Giants,E
1284,Soy Pau,D
1285,Spyro,D
1286,Stacey Ryan,D
1287,Standly,C
1288,StarBoi3,D
1289,StaySolidRocky,D
1290,Stellar,E
1291,Stephanie Beatriz,D
1292,Stephen Dawes,C
1293,Stephen Sanchez,C
1294,Steps,E
1295,Steve Lacy,B
1296,Stray Kids,A
1297,Stromae,C
1298,Sub Urban,E
1299,Sueco,D
1300,Sumit Goswami,E
1301,SunKissed Lola,D
1302,Sunidhi Chauhan,C
1303,Super Simple Songs,E
1304,Super Yei,E
1305,Superstar Pride,C
1306,Surf Curse,B
1307,Surf Mesa,A
1308,Surfaces,A
1309,Surgeon,E
1310,Swedish House Mafia,S
1311,Switch Disco,D
1312,SwitchOTR,D
1313,SyKo,D
1314,TAEYANG,D
1315,TAEYEON,D
1316,TAIRA,E
1317,THE ANXIETY,D
1318,THE BOX,E
1319,THE SCOTTS,D
1320,TINI,A
1321,TOADI,D
1322,TOMORROW X TOGETHER,D
1323,TR-MEET,E
1324,TRASHXRL,D
1325,TREASURE,C
1326,TWICE,D
1327,TWISTED,E
1328,Tai Verdes,E
1329,Tainy,E
1330,Taio Cruz,E
1331,Taiu,D
1332,Takeoff,D
1333,Tame Impala,D
1334,Tank,E
1335,Tanveer Anjum,E
1336,Tarcï¿½ï¿½sio do Acor,E
1337,Tate McRae,D
1338,Tatsuya Kitani,E
1339,Tayc,C
1340,Tech N9ne,E
1341,Teddy Swims,B
1342,Tee Grizzley,D
1343,Tems,D
1344,Terry Flow,E
1345,Tesher,C
1346,Teto,E
1347,Teya Dora,C
1348,Thalapathy Vijay,E
1349,Thalia,E
1350,That Mexican OT,D
1351,The 1975,C
1352,The Academy: Segunda Misiï¿½,E
1353,The Beach Boys,D
1354,The Black Keys,E
1355,The Blessed Madonna,E
1356,The Chainsmokers,D
1357,The Kid LAROI,A
1358,The Killers,B
1359,The King Khan & BBQ Show,E
1360,The Kolors,D
1361,The La Planta,E
1362,The Living Tombstone,D
1363,The Lumineers,B
1364,The Neighbourhood,D
1365,The Offspring,E
1366,The Puddleducks,E
1367,The Rare Occasions,D
1368,The Script,D
1369,The Strokes,A
1370,The Walters,A
1371,The White Stripes,D
1372,Thirty Seconds To Mars,E
1373,Thomas Rhett,E
1374,Thrife,C
1375,Through Fire,D
1376,Thullio Milionï¿½ï¿,E
1377,ThxSoMch,A
1378,Tiago PZK,C
1379,Tiagz,E
1380,Tim McGraw,E
1381,Timbaland,E
1382,Tinashe,C
1383,Tion Wayne,E
1384,TitoM,D
1385,Tiï¿½ï¿,B
1386,Tokischa,C
1387,Tollan Kim,E
1388,Tom Grennan,E
1389,Tom Odell,A
1390,Tom Santa,D
1391,Tom Walker,C
1392,Tommee Profitt,E
1393,Tommy Richman,E
1394,Tones And I,B
1395,Tony Effe,E
1396,Tony Kakkar,C
1397,Toosii,D
1398,Topic,A
1399,Tory Lanez,B
1400,Tove Lo,D
1401,Toy Cantando,D
1402,Trevor Daniel,C
1403,Tri Suaka,D
1404,Trinix,C
1405,Trippie Redd,A
1406,Troye Sivan,D
1407,Trueno,E
1408,Tucker Wetmore,D
1409,Tulus,D
1410,Twenty One Pilots,D
1411,Two Feet,C
1412,Tyga,D
1413,Tyla,C
1414,Tyler Braden,D
1415,Tyler Childers,D
1416,Tyler Hubbard,D
1417,Tyler ICU,C
1418,Tz da Coronel,D
1419,Tï¿½ï¿½ng Duy ,D
1420,USHER,B
1421,UZI,E
1422,Udo Lindenberg,D
1423,V,C
1424,Vacations,D
1425,Valentino Khan,D
1426,Valentino Merlo,E
1427,Vance Joy,B
1428,Vanco,E
1429,VaporGod,E
1430,Varun Jain,E
1431,Vedo,E
1432,Vegedream,E
1433,Veigh,E
1434,Ven'nus,E
1435,Victony,D
1436,Victor Cibrian,D
1437,Victor Thompson,E
1438,Victoria Monï¿½,D
1439,Vierre Cloud,E
1440,Vinay Pandey Sanu,E
1441,Vishal Mishra,E
1442,Vishal-Shekhar,D
1443,Vulgo FK,D
1444,Vï¿½,C
1445,WALK THE MOON,B
1446,WILLOW,B
1447,WIU,D
1448,WOS,D
1449,WZ Beat,E
1450,Waka Flocka Flame,C
1451,Wale,E
1452,Walker Hayes,D
1453,Wallows,B
1454,Warren Zeiders,D
1455,Werenoi,E
1456,Wild Child,E
1457,Willy Paul,D
1458,Wisin,E
1459,Wisin & Yandel,C
1460,Witt Lowry,E
1461,Wizard Chan,E
1462,Wizkid,C
1463,Wren Evans,D
1464,X Ambassadors,C
1465,XG,D
1466,XXXTENTACION,B
1467,Xamdam Sobirov,E
1468,Xamï¿,E
1469,Xavi,D
1470,Xilo,E
1471,Y2K,C
1472,YBN Nahmir,D
1473,YFN Lucci,C
1474,YG,C
1475,YG Marley,D
1476,YK Osiris,D
1477,YNW Melly,D
1478,YOASOBI,D
1479,YOUNGOHM,C
1480,YOVNGCHIMI,D
1481,YSY A,E
1482,YUQI,E
1483,Yahir Saldivar,E
1484,Yahritza Y Su Esencia,A
1485,Yall,D
1486,Yamï¿,C
1487,Yandel,D
1488,Yash Narvekar,E
1489,Yasin,E
1490,Yeat,D
1491,Yng Lvcas,A
1492,Yo Gotti,D
1493,Yo Yo Honey Singh,E
1494,Yot Club,C
1495,Young M.A,D
1496,Young Miko,D
1497,Young Nudy,D
1498,Young Stoner Life,D
1499,Young T & Bugsey,D
1500,YoungBoy Never Broke Again,D
1501,Yung Bleu,E
1502,Yung Gravy,C
1503,Yung Lean,E
1504,Yung Yury,D
1505,YungManny,C
1506,Yuridia,E
1507,ZAYN,S
1508,ZEROBASEONE,E
1509,ZICO,D
1510,Zac Efron,B
1511,Zach Bryan,C
1512,Zack Knight,E
1513,Zack Tabudlo,A
1514,Zara Larsson,S
1515,Zay Hilfigerrr,D
1516,Zedd,B
1517,Zerb,D
1518,Zerrin ï¿½ï¿,D
1519,Zeynep Bastï¿½,E
1520,Zion & Lennox,E
1521,Zoe Wees,C
1522,Zï¿½ï¿½ Fe,D
1523,Zï¿½ï¿½ Vaqu,D
1524,aespa,D
1525,aldn,E
1526,alyona alyona,E
1527,bbno$,E
1528,beabadoobee,D
1529,benny blanco,B
1530,blackbear,C
1531,bonnadol,C
1532,cassï¿,A
1533,charlieonnafriday,D
1534,corwinn,E
1535,d4vd,B
1536,daine,E
1537,digV,E
1538,elijah woods,D
1539,fellow fellow,D
1540,flora cash,D
1541,florias,E
1542,fun.,E
1543,g3ox_em,C
1544,girl in red,E
1545,gnash,A
1546,grandson,D
1547,great area,E
1548,iZaak,D
1549,ian,E
1550,imase,D
1551,iï¿½ï¿½igo quin,A
1552,j-hope,C
1553,juan karlos,D
1554,juju<3,C
1555,koko die,E
1556,kostromin,E
1557,lucidbeatz,C
1558,mafalda cardenal,D
1559,mgk,B
1560,natori,A
1561,phonk.me,E
1562,prod.67,E
1563,purpl,E
1564,salem ilese,E
1565,sped up 8282,E
1566,sped up nightcore,C
1567,thï¿½ï,E
1568,tripleS,E
1569,tuki.,E
1570,twocolors,D
1571,venbee,D
1572,wave to earth,D
1573,will.i.am,E
1574,yuji,A
1575,zzoilo,D
1576,ýý$,D
1577,ýýdith Piaf,D
1578,ýýengo Flow,D
1579,ýýneheart,E
1580,ýýwnboss,D
1581,ýýýýýý,D
1582,ýýýýýýýýýý,D
1583,ýýýýýýýýýý ýýýýýýýý,D
1584,ýýýýýýýýýýýý,D
1585,ýýýýýýýýýýýý ýýýýýýýýýýýýýý,D
1586,ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý,E
1587,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),E
1588,ýýýýýýýýýýýýýýýýýý,D
