,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
1038,Lay Bankz,167431139.0,1,10335.0,116287670.0,90.0,28987197.0,443524.0,0.0,16577348.0,235871001.0,148521798.0,26.0,14654.0,416.0,26.0,8022044.0,52.0,579514.0,5469.0,2893625.0,932674.0
1039,Lazza,69972816.0,1,5282.0,6183983.0,73.0,30283430.0,232134.0,0.0,0.0,0.0,59168102.0,13.0,11835.0,0.0,3.0,3785899.0,25.0,1861.0,2.0,0.0,0.0
1040,League of Legends,371525728.0,2,58277.5,8699912.0,70.0,308624265.0,3340711.0,121250.0,14546288.5,152284865.5,345208289.0,4.0,57.5,0.0,3.5,24507.0,12.0,16639995.0,44646.0,0.0,831090.0
1041,Leah Kate,238502829.0,1,38595.0,7419495.0,4.0,26154092.0,390129.0,1569194.0,185586256.0,2205444414.0,3453749.0,17.0,33938.0,760.0,8.0,66599.0,7.0,23587662.0,15146.0,0.0,692500.0
1042,Lee Brice,382466683.0,1,51259.0,13516221.0,67.0,187677909.0,917156.0,261782.0,22973089.0,187911533.0,509177286.0,0.0,334453.0,182.0,6.0,3740.0,18.0,327029805.0,63395.0,3039327.0,0.0
1043,LeeHi,335212411.0,1,50340.0,7777287.0,71.0,154369917.0,1963254.0,411400.0,224149612.0,1513137827.0,5539129.0,8.0,3885.0,8.0,1.0,1895.0,0.0,260052.0,1206.0,0.0,959210.0
1044,Lefty Sm,98795736.0,1,8721.0,6921023.0,67.0,236734405.0,1554966.0,614600.0,25414356.0,319127773.0,295805823.0,8.0,31.0,0.0,3.0,146132.0,28.0,17670634.0,3877.0,0.0,312223.0
1045,Lele Pons,437956158.0,1,52166.0,18095179.0,62.0,536897289.0,3802052.0,1700000.0,122204815.0,1108855948.0,265176894.0,62.0,21532.0,0.0,21.0,124707.0,19.0,15039693.0,4470.0,0.0,1265186.0
1046,Lenny Tavï¿½ï¿,68349764.0,1,7210.0,31014133.0,8.0,16821942.0,150277.0,4814.0,936755.0,10013585.0,216158198.0,13.0,1143.0,0.0,19.0,1742799.0,11.0,486201.0,53.0,11448.0,134177.0
1047,Leo Santana,128864109.0,2,11608.0,10565104.0,61.0,140674244.0,854942.0,500731.5,64759305.0,911465393.5,188264462.0,11.5,1025.5,0.0,26.5,1116434.5,8.5,39331.0,0.0,0.0,18743.5
